source_text,target_text,language_pair,source_file,sheet_name,source_tokens,target_tokens
main town newcastle,idolobha newcastle,en-zu,englishzulu00951.xlsx,Sheet1,3,2
assimilation by the dominant group redefinition of their groups negative characteristics creation of new dimensions in which subordinated group,ukufakwa kwezinto ezintsha eqenjini elinamandla kunamanye ukuhlela kabusha okuyizingxenye zeqembu ezingezinhle ukwakhiwa kweminxa emisha yeqembu elingaphansi,en-zu,englishzulu00493.xlsx,Sheet1,19,16
there is a misconception that elders that do not live in the cities are spared from the virus the reality is that they are the most vulnerable,kunomqondo oyiphutha wokuthi abantu abadala abangahlali emadolobheni baphephile ekungenweni yigciwane kodwa iqiniso lithi yibona abasengozini enkulu,en-zu,englishzulu00393.xlsx,Sheet1,27,16
physics lecturer recognised for outstanding research reviews,umfundisi wefiziksi uhlonishwe ngamangwevu ekucwaningeni,en-zu,englishzulu00431.xlsx,Sheet1,7,5
i learned from my patients and had many discussions that helped me grow as a person and clinician commented poovan,ngafunda kwiziguli zami futhi saba nezingxoxo eziningi nazo ezangisiza ukuthi ngikhule njengomuntu nasemkhakheni engikuwo kubeka upoovan,en-zu,EnglishZulu00969.xlsx,Sheet1,20,16
the teaching and learning conditions for example classrooms learning materials and manpower in colleges of education in nigeria which were established with a mandate to train foundationlevel primary school teachers are grossly inadequate,izimo zokufundisa nokufunda ukwenza isibonelo amakilasi izinsizakufunda nezisebenzi zasemakolishi ezemfundo enigeria konke okwakhelwa ukugunyaza ukuqeqeshwa kothisha bezinga eliyisisekelo ezikoleni zamabanga aphansi akwenele neze,en-zu,EnglishZulu00675 John Gyang Chaka.xlsx,Sheet1,33,23
the research findings showed that iks are used for a variety of reasons,okutholakele ocwaningweni kuveze ukuthi iiks isetshenziselwa izizathu ezahlukene,en-zu,EnglishZulu00876 Tenson Muyambo.xlsx,Sheet1,13,8
south african sa language policies describe patients constitutional right to receive treatment in their language of choice,imigomo yolimi eningizimu afrika ngokomthethosisekelo ichaza amalungelo eziguli okuthola ukwelashwa ngolimi ezizikhethele lona,en-zu,EnglishZulu00731 Margaret Matthews.xlsx,Sheet1,17,13
for the methods and assessments teachers generally used a single method and more than one type of assessment,mayelana nezindlelakwenza zokuhlola othisha ngokujwayelekile basebenzise indlelakwenza eyodwa nohlobo lokuhlola olungaphezu kokukodwa,en-zu,EnglishZulu00794 Odette Umugiraneza.xlsx,Sheet1,18,12
yes dad,yebo baba,en-zu,englishzulu00386.xlsx,Sheet1,2,2
the picture below shows my personal ple let me try to explain,isithombe esingezansi sikhombisa iple yami ake ngizame ukuchaza,en-zu,englishzulu00469.xlsx,Sheet1,12,8
principal investigator dr munira khan interactive research and development ird sa problem mkhize road cowey road durban,umcwaningi omkhuludkt munira khan interactive research and development ird sa problem mkhize road cowey road durban,en-zu,englishzulu00069.xlsx,Sheet1,17,16
then based on the research you have done answer the following questions in relation to the species that you have chosen,ube sewusebenzisa ucwaningo olwenzile ekuphenduleni le mibuzo elandelayo emayelana nesidalwa osikhethile,en-zu,englishzulu00493.xlsx,Sheet1,21,11
present a literature review of the key sources identified for the research topic,yethula ukubuyekezwa kwemibhalo kwemithombo esemqoka esihlokweni socwaningo,en-zu,englishzulu00474.xlsx,Sheet1,13,7
regards,siyabonga,en-zu,englishzulu00167.xlsx,Sheet1,1,1
these eroded the reflection of the igbo value system and were a result of attacks from the western media and the western education system,lokhu kukhukhule ukubuyiswa kobumqoka kohlelo lwamaigbo lokhu okube yimiphumela yokuhlaselwa ezokwazisa nohlelo lwemfundo yasentshonalanga,en-zu,EnglishZulu00588 Anyanwu Chinekpebi Ngozi.xlsx,Sheet1,24,14
photograph calvin govender,isithombe sithunyelwe,en-zu,englishzulu00959.xlsx,Sheet1,3,2
the study further highlighted the influence of teachers experiences on teaching and learning and learner performance as a result thereof,ucwaningo luqhakambise umthelela wolwazi lothisha ngokufundisa ukufunda nokusebenza komfundi njengomphumela walokho,en-zu,englishzulu202500053.xlsx,Sheet1,20,11
the first time will be when the study starts,okokuqala kuzoba yilapho kuqala khona ucwaningo,en-zu,englishzulu00956.xlsx,Sheet1,9,6
consistent with the goal of multilingualism as articulated in the university language policy the ulpdo in collaboration with pansalb successfully hosted the sign language training workshop on the th of september at cr swart police station in durban,ngokuhambisana nempokophelo ebalulwe yinqubomgomo yolimi yenyuvesi iulpdo ibambisene nepansalb babambe umhlangano wokucobelelana ngolwazi lokukhuluma ulimi lwezimpawu obubanjelwe esiteshini samaphoyisa icr swart police station ethekwini,en-zu,englishzulu00162.xlsx,Sheet1,38,24
day one,usuku lokuqala,en-zu,englishzulu00020.xlsx,Sheet1,2,2
hot water,amanzi ashisayo,en-zu,englishzulu00171.xlsx,Sheet1,2,2
adhere to the closing dates for all assignments,landela imithetho yosuku lokuvalwa ukuleth amaasayinimenti,en-zu,englishzulu00469.xlsx,Sheet1,8,6
you will then be able to see which option or combination of options is correct,ngemuva kwalokho uzokwazi ukubona ukuthi iyiphi inketho noma inhlanganisela yezinketho eyiyo,en-zu,englishzulu00493.xlsx,Sheet1,15,11
does it contain all the necessary requirements such as a title page with the correct wording a table of contents a list of key words andor phrases correct page numbering etc,ngabe inako konke okudingekayo njengekhasi lesihloko abhalwe kahle amagama okuqukethwe uhlu lwamagama asemqoka izinombolo zamakhasi zibhalwe ngendlela efanele njll,en-zu,englishzulu00475.xlsx,Sheet1,31,19
unknown status,angisazi,en-zu,englishzulu00158.xlsx,Sheet1,2,1
if your sentence is a simple one but clearly explains what the author intended then you have paraphrased properly,uma umusho ulula kodwa uchaza lokhu umbhali akuqondile kuzomele ubhale ngamagama akho ngendlela efanele,en-zu,englishzulu00485.xlsx,Sheet1,19,14
we trusted them because we had to,sasibathemba ngoba kufanele,en-zu,englishzulu00064.xlsx,Sheet1,7,3
the ipcc targets the national level but doesnt touch some areas of policy so we are trying to use outreach and products like the booklet to bridge the gap and make this information accessible said roberts,iipcc ibheka izinga likazwelonke kodwa ayizithinti izinto zenqubo ngakho sizama ukusebenzisa umkhankaso wokufinyelela emphakathini nezinto ezinjengezincwajana ukuvala lesisikhala nokwenza ukuthi kutholakale ulwazi kusho usolwazi uroberts,en-zu,englishzulu00529.xlsx,Sheet1,36,25
be sure to take great care in reading with understanding and reflection the different methodologies especially indigenous and african methodologies as you work through the required reading list,qinisekisa ukuthi uyanakekela uma ufunda ube nokuqonda nokubuyekeza izinhlobo ezihlukene zezindlelakwenza ikakhulukazi ezomdabu zaseafrika njengoba uqhubeka nokufunda uhlu lwezincwadi okudingeka uzifunde,en-zu,englishzulu00470.xlsx,Sheet1,28,21
if we were lambing i was needed at home from morning til night for several weeks and the same at harvest time,uma kwakunamazinyane ngangidingeka ekhaya kusukela ekuseni kuze kube yisebusuku kudlule amasonto kanjalo futhi uma kwasekuyisikhathi sokuvuna,en-zu,englishzulu00386.xlsx,Sheet1,22,16
i trust that this honours degree will prove to be both enriching and successful,ngiyathemba ukuba lezi zifundo zeziqu zeonazi zizoba nempumelelo futhi zinothise,en-zu,englishzulu00472.xlsx,Sheet1,14,10
utopia and its filmic representation are dependent on the lens of science fiction,leli lizwe elimsulwa nelingenazinkinga elivezwe efilimini libonakala ngeso lobusayensi obunezigameko zokuzakhela,en-zu,EnglishZulu00839 S. Laltha.xlsx,Sheet1,13,11
as we discuss the story of the blind men and the elephant we can make a mind map to organise the ideas that emerge,njengoba sichaza indaba yamadoda ayizimpumputhe nendlovu singenza umdwebo womcabango ukuhlela imicabango evelayo,en-zu,englishzulu00061.xlsx,Sheet1,24,12
we suggest that you create a file or folder for keeping extra information essay drafts and essays,siphakamisa ukuthi wenze ifayela noma ifolda ukugcina ulwazi olengezelelwe izinhlaka zamaeseyi nokugcina amaeseyi uqobo,en-zu,englishzulu00061.xlsx,Sheet1,17,14
mark,imibuzo engumhlahlandlela,en-zu,EnglishZulu01533.xlsx,Sheet1,1,2
we wish the dvcs well on their new responsibilities,sifisela amaphini esekelashansela konke okuhle emsebenzini wawo omusha,en-zu,englishzulu00101.xlsx,Sheet1,9,8
dr albert van jaarsveld,ngudkt albert van jaarsveld,en-zu,englishzulu00084.xlsx,Sheet1,4,4
you must explain in your own words what is written in your sources in other words you may not copypaste information from any source into your work,chaza ngamagama akho okubhalwe yimithombo yakho ngamanye amazwi ungawuthathi lomsebenzi uwunamathisele kowakho unjalo,en-zu,englishzulu00491.xlsx,Sheet1,27,13
the university continues to track its transformation strategy,inyuvesi iqhubekile nokulandela uhlelo lwayo loguquko,en-zu,englishzulu00496.xlsx,Sheet1,8,6
some introduced cultivars and cultivars developed by the national sorghum programme were released in the past years however farmers did not adopt them due to their inherent short plant height low biomass yield early maturity and susceptibility to bird and disease attacks,kwakhiqizwa ezinye izinhlobo ngokohlelo lwamabele eminyakeni eyishumi edlule kodwa abalimi abazange bazisebenzise ngenxa yobufishane bazo isivuno esincane ukukhula ngamandla nokudliwa yizinyoni nokhula,en-zu,englishzulu00311.xlsx,Sheet1,42,22
the stability and rationality of the qsar model and top four compounds with best binding affinity were validated by hybrid qmmm coupled with molecular dynamics md simulation,uzinzo namamodeli aphusile eqsar kanye namakhompawundi aphezulu amane kanye namabest binding affinity aqinisekiswa yihybrid qmmm ehambisana nokungathekisa ngemolecular dynamics imd,en-zu,EnglishZulu00800 Olayide Arodola.xlsx,Sheet1,27,20
for examinations,ezokuhlolwa,en-zu,englishzulu00491.xlsx,Sheet1,2,1
a qualitative case study design located within interpretivist paradigm was conducted in three purposively selected secondary schools,isifanekisomumo socwaningonto lwekhwalithethivu lwenziwe ohlelwenimqondo lomhumushi lwenziwa ezikoleni ezintathu eziqokwe ngenhloso,en-zu,englishzulu2025000080.xlsx,Sheet1,17,11
over of our students are registered and ready to return to class so why do the disruptions and violence continue,abafundi abangaphezulu kwama sebebhalisile futhi sebelungele ukubuyela emakilasini pho kungani udlame nokuphazanyiswa kokufunda kusaqhubeka,en-zu,englishzulu00385.xlsx,Sheet1,20,14
by utilising an interpretive qualitative onecase study approach involving narrative interviews narrative focusgroup discussions and written reflection narratives data from six lecturers was generated,ngokusebenzisa ikhwalithethivu ehumushayo yendlela yesifundo esisodwa esibandakanya imibonongxoxo ukubhunga kwamaqembu okugxile ekulandiseni nezingxoxo ezibhaliwe zokuzindla imininingo evela kwabayi abafundisayo kwenziwa,en-zu,englishzulu2025000078.xlsx,Sheet1,24,20
ukzn occupies m across five campuses and has buildings spread over hectares of land,iukzn iphezu komhlaba oyizi m emakhempasini amahlanu futhi unezakhiwo ezingama ezisabalele kumahekthare angaphezulu kwezi omhlaba,en-zu,englishzulu00953.xlsx,Sheet1,14,15
for example,isibonelo,en-zu,englishzulu00477.xlsx,Sheet1,2,1
sharing this vision underpinned by a robust evidencebased approach is enabling this marginalised npo community to work together as a collective and leverage greater support,ukwabelana ngalo mbono onesisekelo sendlelakwenza enamandla esuselwe ebufakazini kulekelela lo mphakathi okhishwa inyumbazana ukuthi usebenzisane futhi uthole nokwesekwa okungcono,en-zu,englishzulu00204.xlsx,Sheet1,25,19
despite the policy shift to a developmental approach in child protection practice has not moved into the developmental paradigm,naphezu kokugudluka kwenqubomgomo iye endlelenikwenza ethuthukisayo ekuvikelweni kwezingane okwenzekayo akukaze kugudluke ohlelwenimqondo lokuthuthukisa,en-zu,"EnglishZulu00893 Van Niekerk, J.xlsx",Sheet1,19,13
in isizulu facebook text use some of vowels in posted texts are omitted syllables deleted or replaced by letters and numbers,esizulwini kusetshenziswa imiyalezo yefacebook onkamisa abathile emiyalezweni ethunyelwayo bayeqiwa amalunga amagama ayasuswa noma kuguqulwe amelwe izinhlamvu nezinimbolo,en-zu,EnglishZulu00594 Babsy Xaba.xlsx,Sheet1,21,17
personal safety thus depends on a high level of individual safetyconsciousness and an informed approach to safety issues,ngakhoke ke ukuphepha komuntu kuncike elwazini olunzulu kanye nokubhekana nezindaba zokuphepha ngendlela ekhombisa ukuba nolwazi,en-zu,englishzulu00019.xlsx,Sheet1,18,15
the examination,ukuhlolwa,en-zu,englishzulu00468.xlsx,Sheet1,2,1
literature review with draft,ukubuyekezwa kwemibhalo nohlaka,en-zu,englishzulu00954.xlsx,Sheet1,4,3
independent variables are confounding variables,okuguqukayo okuzimele kuyaphazamisa okuguquguqukayo,en-zu,englishzulu00493.xlsx,Sheet1,5,4
for the quantitative phase a total of women living receiving treatment for breast cancer at a tertiary hospital in ghana were conveniently sampled and administered a set of questionnaires measuring the study variables,esigabeni socwaningozinombolo inani labesifazane abangama abaphila bethola ukwelashelwa umdlavuza webele esibhedlela sesikhungo esikhulu eghana basetshenziswa banikezwa uhlelo lohlamibuzo ukukala amavariyebhuli ocwaningo,en-zu,"EnglishZulu00708 Kugbey, N.xlsx",Sheet1,33,21
careful listening has to begin with your genuine interest in whatever it is your child is experiencing and feeling,ukulalelisisa kufanele kuqale ngentshisekelo yakho kunoma yini ingane yakho ebhekana nayo futhi ezizwa ngayo,en-zu,englishzulu00415.xlsx,Sheet1,19,14
likewise it complies with required regulatory codes of practice including bbbee,ngokufanelekile ihambelana nayo yonke imigomo yokusebenza kuhlanganisa neyebbbee,en-zu,englishzulu00184.xlsx,Sheet1,11,8
the study used qualitative methods for data analysis,ekuhlaziyweni kwemininingwane kusetshenziswe inqubo eyikhwalitheyithivu,en-zu,EnglishZulu00848 Shamiso Tatira.xlsx,Sheet1,8,5
there were also magical science shows from dr tanja reinhardt or dr t of the science and technology education centre,bekukhona nemibukiso emihle kakhulu yezesayensi eyethulwe udkt tanja reinhardt okanye udkt t wesikhungo sesayensi nobuchwepheshe bezemfundo,en-zu,englishzulu00099.xlsx,Sheet1,20,16
read the poem and discuss,funda inkondlo bese uyayichaza,en-zu,englishzulu00061.xlsx,Sheet1,5,4
clearly and concisely spell out the aims and objectives of the study,beka kucace izinhloso zesifundo,en-zu,englishzulu00474.xlsx,Sheet1,12,4
due dates of assignments,izinsuku zokulethwa kwamaasayinimenti,en-zu,englishzulu00473.xlsx,Sheet1,4,3
article the committee,isigaba ikomidi,en-zu,englishzulu00083.xlsx,Sheet1,3,2
an external examiner will adjudicate the research paper and assess whether the mark assigned is fair and appropriate,umhloli wangaphandle uzokwahlulela iphepha locwaningo nokuhlola ukuthi imaki elinikiwe lifanele,en-zu,englishzulu00483.xlsx,Sheet1,18,10
all interviews should be at companys offices or at least in a very public place,yonke inhlolokhono kufanele ibe semahhovisi enkampani noma endaweni yomphakathi esobala,en-zu,englishzulu00512.xlsx,Sheet1,15,10
the njv rebcon aluminium dish was developed for practical assembly disassembly transportation installation and serviceability with lasercut elements that ensure parabolic accuracy and an innovative design that is fully recyclable,indishi yealuminium yakwanjv rebcon yenzele ukuthi ihlanganiseke futhi ihlakazeke kalula kanti futhi ithwaleka iphinde ifakeke kalula,en-zu,englishzulu00423.xlsx,Sheet1,30,16
he put it down on the floor wiped his lips with the back of his hand and squatted on the floor making a huge ceremony of it,wawubeka phansi wasula izindebe ngemuva lesandla sakhe wabe eseqojama phansi ekwenza kube yinto enkulu,en-zu,englishzulu00492.xlsx,Sheet1,27,14
a paper mache sculpture may be made by using a balloon for the shape of the body,umfanekiso esenziwe ngamaphepha singenziwa ngokusebenzisa ibhaluni ukuze kwakhiwe umzimba,en-zu,englishzulu00958.xlsx,Sheet1,17,9
as a climate reality leader agoni is tasked to head discussions on climate crisis issues through seminars presentations and stakeholder deliberations,njengomholi kwezokuxazululwa kwesimo sezulu esiguqukayo uagoni ubhekene nokuba sekhaleni lezindaba zokuguquka kwesimo sezulu ngezithangami izinkulumo nezingxoxo nabalingani kulo mkhakha,en-zu,englishzulu00309.xlsx,Sheet1,21,19
office hours,amahora okusebenza,en-zu,englishzulu00491.xlsx,Sheet1,2,2
content introduction mr john linnegar,ukwethulwa kwesifundo mnu john linnegar,en-zu,englishzulu00020.xlsx,Sheet1,5,5
modulespecific study plan,uhlelo lokufunda lwemojuli,en-zu,englishzulu00475.xlsx,Sheet1,3,3
sperm concentration and motility were significantly p reduced in all normoglycemic and diabetic animals treated with haart and hh alone or concomitantly with hh p and melatonin relative to normoglycemic and diabetic controls,ukushuba kwesidoda kanye nokunyakaza kwaso kwakwehle kakhulu p kuzona zonke izilwane ezazilashelwe inormoglycemic nesifo sikashukela ezalashwa ngemishanguzo ihaart nehh ngakodwana noma kuhlanganiswe nehh p kanye nemelatonin njengemvama ezinhlelweni eziqoqekile zenormoglycemic kanye nezesifo sikashukela,en-zu,EnglishZulu00668 Ishmail Olasile Onanuga.xlsx,Sheet1,33,33
professor lauren dyll of the centre for communication media and society ccms within the college of humanities has been appointed coeditor of the critical arts journal that is jointly housed at ukzn and the university of johannesburg uj,usolwazi lauren dyll wesizinda sezokuxhumana ezokwazisa nezomphakathi icenter for communication media and society iccms engaphansi kwekolishi lesintu uqokwe njengomunye wabahleli bomqingo icritical arts engaphansi kweukzn neuniversity of johannesburg uj,en-zu,englishzulu00910.xlsx,Sheet1,38,29
snph research academic leader coauthors first nature review with renowned researchers,umholi wasesnph ubhale ngokuhlanganyela nabacwaningi abahlonishwayo kwinature review,en-zu,englishzulu00337.xlsx,Sheet1,11,8
words nombuso dlamini,amagama wunombuso dlamini,en-zu,englishzulu00523.xlsx,Sheet1,3,3
those buffalo horns are for show,lezi zimpondo zenyathi ezokuhlobisa,en-zu,englishzulu00492.xlsx,Sheet1,6,4
do not neglect to make full annotations about where the information comes from,ungakunaki ukwenza izichasiselo ezigcwele mayelana nokuthi ulwazi luvelaphi,en-zu,englishzulu00474.xlsx,Sheet1,13,8
everyone was eating except for one young man,wonke umuntu wayedla ngaphandle kwensizwa eyayisayintsha,en-zu,englishzulu00492.xlsx,Sheet1,8,6
existing serum creatininebased egfr equations are inaccurate among subsaharan africans,ukukala ukuhluzeka kukadoti egazini kuvame ukushaya eceleni kubantu basesubsaharan afrika,en-zu,englishzulu00269.xlsx,Sheet1,10,10
services to students living with disabilities,izinsizakalo zabafundi abaphila nokukhubazeka,en-zu,englishzulu00478.xlsx,Sheet1,6,4
you may also send an email to libhelpunisaacza please add your student number in the subject line,ungayithumelela ne imeyili ku libhelpunisaacza sicela uqinisekise ukufaka inombolo yakho yomfundi njengesihloko seimeyili,en-zu,englishzulu00471.xlsx,Sheet1,17,13
if you submit your assignment electronically we will accept it as signed if we see that text somewhere prominent at the beginning or end of the assignment,uma uhambise iasayinimenti yakho ngekhompyutha sizoyamukela njengesayiniwe uma sibona lelo gama ekuqaleni noma ekugcineni kweasayinimeni,en-zu,englishzulu00483.xlsx,Sheet1,27,15
note that the final mark is an average of year mark and examination mark,qaphela ukuthi imaki lokugcina lilinganiselwa ku wemaki lonyaka kanye no wokuhlolwa,en-zu,englishzulu00493.xlsx,Sheet1,14,11
there are two places that you need to do this in your essay,kunezindawo ezimbili lapho udinga ukwenza lokhu endabeni yakho,en-zu,englishzulu00490.xlsx,Sheet1,13,8
the basic needs approach may have bearing on evaluating achievements in goal end hunger achieve food security the notions of a social wage and social exclusion may have bearing on goal ensure healthy lives and promote wellbeing for all at all ages the human development index and the gender development index may have bearing on goal achieve gender equality and empower all women and girls calculation of the gini coefficient may have bearing on goal reduce inequality within and among countries,indlela eyisisekelo yezidingo ingaba nomthelela ekuhloleni impumelelo kugoal ukuqeda indlala ukufeza ukutholakala kokudla imibono yomholo womphakathi kanye nokushiywa ngaphandle kwezenhlalo kungaba nomthelela kunjongo kuqinisekise impilo enempilo futhi kuthuthukise inhlalakahle yabo bonke ubudala kuyo yonke iminyaka ihuman development index negender development index zingathinta inhloso kuzuzwe ukulingana ngokobulili nokunika amandla bonke abesifazane namantombazane ukubalwa kwecoefficient yegini kungahle kube nomthelela kugoal kunciphise ukungalingani ngaphakathi naphakathi kwamazwe,en-zu,englishzulu00493.xlsx,Sheet1,81,63
c avoid conducting financial or corporate transactions in wifi hotspot areas,c ukugwema ukwenza imisebenzi ephathelene nezimali noma okwasemsebenzini ezindaweni ezinewifi,en-zu,englishzulu00027.xlsx,Sheet1,11,10
study contribution entails critical theoretical and methodological insights with substantial implications for the conduct of bank regulation policy,igalelo lwalolu cwaningo libandakanya injulalwazi ehlaziyayo kanye nokuqonda ngokwendlelakwenza okuhambisana nemithelela enqala yokuphathwa kwenqubomgomo elawula amabhange,en-zu,EnglishZulu00680 Joseph Olurunfemi Akande.xlsx,Sheet1,18,16
there was a significant difference between the aa values obtained using the pushup and those obtained using the minus lens to blur p with the former yielding higher values than the later,kwavela umehluko omkhulu phakathi kwezilinganiso zobubanzi bokubuka iaa ezatholakala uma kusetshenziswa indlela yepushup nalezo ezatholakala uma kusetshenziswa iminus lens ukwenza into ibe luvindi p lapho indlela yepushup ikhombise izilinganiso ezingaphezu kwalezo zeminus lens,en-zu,EnglishZulu00648 Godwin Ovenseri-Ogbomo.xlsx,Sheet1,32,33
head of family medicine dr bernhard gaede said you need to teach us how the healthcare system can run differently and better in south africa,inhloko yefamily medicine udkt bernhard gaede ithe kudingeka nisifundise ukuthi ezempilo zingaguqulwa kanjani zibe ngcono eningizimu afrika,en-zu,englishzulu00367.xlsx,Sheet1,25,17
the purposes and outcomes of this module should guide you towards achieving competencies in contributing a researched academic article to peers in your discipline of choice missiology,izinhloso zale mojuli ukukuholela ekuphumeleleni ukuthola amakhono okubhala iathikili yezokufunda ecwaningwe ngendlela efanele ezoba yiqhaza lakho kozakwenu emkhakheni wakho ozikhethele wona imisiyoloji,en-zu,englishzulu00479.xlsx,Sheet1,27,22
article privileges and immunities,isigaba amalungele nokuvikeleka,en-zu,englishzulu00083.xlsx,Sheet1,4,3
as your child learns that youre not going to hurry right on with another question or comment youll discover that he will begin to add to his answer to say a bit more and to become even more exploring of his own thoughts and feelings,njengoba ingane yakho ifunda ukuthi ngeke usaphuthuma ngomunye umbuzo noma ukuphawula uzothola ukuthi izoqala ukungeza empendulweni yayo ukusho okuthe xaxa futhi ukwazi ukubona imicabango nemizwa yayo,en-zu,englishzulu00415.xlsx,Sheet1,45,26
where there is doubt about the correctness of the original the word sic can be added in brackets sic sic is latin for so,uma kunokungabaza ngokubhaleka kokususelwe kukona sebenzisa igama elithi sic ulifake kubakaki sic sic igama lesilatin elichaza ukuthi ngakho ke,en-zu,englishzulu00483.xlsx,Sheet1,24,19
social development,ukuthuthuka emphakathini,en-zu,englishzulu00955.xlsx,Sheet1,2,2
section c social history,isigaba c umlando wezenhlalo,en-zu,englishzulu00108.xlsx,Sheet1,4,4
the partnership has recently secured funding from an international donor to finance a research project on poverty and sustainable development studies,lobu budlelwane buzuze uxhaso locwaningo ngezimali ezivela phesheya emkhakheni wepoverty and sustainable development studies,en-zu,englishzulu00953.xlsx,Sheet1,21,14
these presentations were based on research mafunga is conducting for her phd which examines the farmlevel impacts of further development of sugar mills into biorefineries,la maphepha asuselwa ocwaningweni unks mafunga alwenzela izifundo zakhe zobudokotela olubheka umphumela wokushintsha kwezigayo zikashukela zibe yizindawo zomkhiqizo owongayo nongacekeli phansi imvelo,en-zu,englishzulu00254.xlsx,Sheet1,25,22
at times close to the assignment due dates that website can be extremely busy and therefore slow,kuvamile ukusebenza kancane kwesizindalwazi uma sekusondele izinsuku zokuletha amaasayinimenti ngenxa yokuba matasa kwaso,en-zu,englishzulu00470.xlsx,Sheet1,17,13
i am anxious about the journey as i am still awaiting a scholarship interview from the gates organisation she said,nginexhala ngalolu hambo njengoba ngisalindele ukwenza inhlolokhono yokuthola umfundaze enhlanganweni igates kusho yena,en-zu,englishzulu00373.xlsx,Sheet1,20,13
assignments are set to guide you through various stages in the construction of your research essay,ama asayimenti afanele akunike imihlahlandlela ekuholela ukuthi uhlanganise ieseyi yocwaningo,en-zu,englishzulu00474.xlsx,Sheet1,16,10
since liberalism prioritises the individual and her rights over her community respect for dignity is considered synonymous with respect for individual rights,ngenxa yokuthi izidingo zemfisabungcono zibeke eqhulwini umuntu kanye namalungelo akhe ngaphezu kwemiphakathi ukuhlonishwa kwesithunzi sekuyinto elinganiswa nokuhlonishwa kwamalungelo omuntu,en-zu,EnglishZulu00727 Makwinja.xlsx,Sheet1,22,19
collier is a meticulous jazz drummer whose undeniable talents have been nurtured by dawkins,ucollier ungumshayizigubhu ocophelelayo onekhono elisobala nocijwe wudawkins,en-zu,englishzulu00219.xlsx,Sheet1,14,7
reflexivity do the converts and the christian community reflect on the impact and results of their work in the community,ukuzivumelanisa nezimo ingabe abaguqukile kanye nomphakathi wamakrestu bacabanga ngomthelela nemiphumela yomsebenzi wabo emphakathini,en-zu,englishzulu00471.xlsx,Sheet1,20,13
as your situation changes you can make changes to your figures and see what it means for your profit,uma izimo zakho ziguquka nawe ungenza izinguquko ezinombolweni zakho ubone ukuthi kuma kanjani enzuzweni yakho,en-zu,englishzulu00465.xlsx,Sheet1,19,15
study learning theme,funda isihloko,en-zu,englishzulu00487.xlsx,Sheet1,3,2
if you have any trouble downloading them contact prof clasquinjohnson,uma unenkinga ngokuzithola thintana nosolwazi clasquinjohnson,en-zu,englishzulu00482.xlsx,Sheet1,10,6
aratings recognise and enhance the work of ukzn scientists,izinga eliphezulu liphakamisa igama lososayensi baseukzn,en-zu,englishzulu00497.xlsx,Sheet1,9,6
can the answer possibly be neither,kungabe impendulo ayikhona kokubili,en-zu,englishzulu00954.xlsx,Sheet1,6,4
